post_id,ticker,excluded_flag,excluded_reason,bars_found,window_quality,confirmatory_eligible,market_adjusted_return,raw_volatility,time_bucket,baseline_mean,baseline_std,baseline_n,baseline_p_threshold,vol_zscore,vol_percentile_rank,abnormal_volatility_flag
2078139206946459853,BOX,False,,48,partial,True,-0.003431870152632688,0.0007480189527426368,1.0,0.0013670565185054764,9.769056425029918e-05,43.0,0.0014788781460496501,-6.336718090569773,0.0,False
2077857617859535112,BOX,False,,54,partial,True,0.0007979537912523593,0.0018780642050587894,0.0,0.00419474496533706,0.00028532857008037186,3.0,0.004396504703856751,-8.119343813434819,0.0,False
2077782120232350205,BOX,False,,47,partial,True,0.010833310104468197,0.0009687654233459319,2.0,,,,,,,False
2077526010753581156,BOX,False,,50,partial,True,0.00549638118795559,0.0013957884170267695,0.0,0.00419474496533706,0.00028532857008037186,3.0,0.004396504703856751,-9.809590913107213,0.0,False
2077471148699439152,BOX,False,,47,partial,True,-0.004676487641568916,0.0008937447303580511,5.0,0.001156084544584349,0.0002470170345756928,55.0,0.0015310284194640484,-1.0620312671023895,21.818181818181817,False
2077201458546745553,BOX,False,,51,partial,True,0.030389351273255816,0.0020648416929199245,0.0,0.00419474496533706,0.00028532857008037186,3.0,0.004396504703856751,-7.464738886180168,0.0,False
2077043523703243070,BOX,False,,44,partial,True,-0.00022712961855542169,0.000885952690614275,1.0,0.0013670565185054764,9.769056425029918e-05,43.0,0.0014788781460496501,-4.9247727411885425,0.0,False
2076882332821373381,BOX,False,,41,partial,True,0.001071532859042712,0.002635923914395799,0.0,0.00419474496533706,0.00028532857008037186,3.0,0.004396504703856751,-5.463249090345804,0.0,False
2076839463410671637,BOX,False,,41,partial,True,0.001071532859042712,0.002635923914395799,0.0,0.00419474496533706,0.00028532857008037186,3.0,0.004396504703856751,-5.463249090345804,0.0,False
2076764958579446006,BOX,False,,41,partial,True,0.001071532859042712,0.002635923914395799,0.0,0.00419474496533706,0.00028532857008037186,3.0,0.004396504703856751,-5.463249090345804,0.0,False
2076688119404081650,BOX,False,,31,partial,True,0.004912575783629358,0.0008154058989081594,1.0,0.0013670565185054764,9.769056425029918e-05,43.0,0.0014788781460496501,-5.646918142307971,0.0,False
2076338364635287637,BOX,False,,32,partial,True,0.01650986234787366,0.0011779786264378355,0.0,0.00419474496533706,0.00028532857008037186,3.0,0.004396504703856751,-10.572955726268338,0.0,False
2076116544980214164,BOX,False,,32,partial,True,0.01650986234787366,0.0011779786264378355,0.0,0.00419474496533706,0.00028532857008037186,3.0,0.004396504703856751,-10.572955726268338,0.0,False
2075963779599466894,BOX,False,,32,partial,True,0.01650986234787366,0.0011779786264378355,0.0,0.00419474496533706,0.00028532857008037186,3.0,0.004396504703856751,-10.572955726268338,0.0,False
2075655202724815315,BOX,False,,48,partial,True,-0.004560100752529328,0.0008452272432896654,5.0,0.001156084544584349,0.0002470170345756928,55.0,0.0015310284194640484,-1.258444794419343,7.2727272727272725,False
2075416313481290077,BOX,False,,35,partial,True,0.002844668413952922,0.002182315529363459,0.0,0.00419474496533706,0.00028532857008037186,3.0,0.004396504703856751,-7.053024642456014,0.0,False
2075287443411222628,BOX,False,,39,partial,True,-0.003949386550328726,0.0005334032105041431,5.0,0.001156084544584349,0.0002470170345756928,55.0,0.0015310284194640484,-2.5208032116076557,0.0,False
2075073587015516228,BOX,False,,40,partial,True,-0.0118697135373661,0.0018245872423456528,0.0,0.00419474496533706,0.00028532857008037186,3.0,0.004396504703856751,-8.306766204042505,0.0,False
2074719479377109312,BOX,False,,36,partial,True,-0.004469424463039218,0.0013869958739709258,0.0,0.00419474496533706,0.00028532857008037186,3.0,0.004396504703856751,-9.840406414875462,0.0,False
2074528241990394178,BOX,False,,37,partial,True,-0.00719758410101734,0.0008760686837433077,2.0,,,,,,,False
2074163686990913576,BOX,False,,37,partial,True,0.009008110964737304,0.0006024923344507232,2.0,,,,,,,False
2073138135014502777,BOX,False,,21,insufficient,False,-0.015847365399686564,0.0026201056202725262,0.0,0.00419474496533706,0.00028532857008037186,3.0,0.004396504703856751,-5.518687962516289,0.0,False
2072875685811716182,BOX,False,,21,insufficient,False,-0.015847365399686564,0.0026201056202725262,0.0,0.00419474496533706,0.00028532857008037186,3.0,0.004396504703856751,-5.518687962516289,0.0,False
2072519377371459836,BOX,True,"jobs_report(ALL, 2026-07-02 12:30:00+00:00->2026-07-02 20:00:00+00:00)",34,partial,False,0.006168138375580501,0.002530831913094642,0.0,0.00419474496533706,0.00028532857008037186,3.0,0.004396504703856751,-5.831568327608146,0.0,False
2072172275017879829,BOX,False,,44,partial,True,0.035108038796765606,0.0025582921058625255,0.0,0.00419474496533706,0.00028532857008037186,3.0,0.004396504703856751,-5.735327727656488,0.0,False
2072046374045249671,BOX,False,,4,insufficient,False,-0.0025077869296051825,0.00031999884576514113,6.0,,,,,,,False
2071992799109824562,BOX,False,,34,partial,True,0.0034173996779043314,0.0008072886477088132,2.0,,,,,,,False
2071775583072375214,BOX,False,,27,insufficient,False,-0.0008476380646544879,0.0022602199118325313,0.0,0.00419474496533706,0.00028532857008037186,3.0,0.004396504703856751,-6.779990706712644,0.0,False
2071253118252356001,BOX,False,,52,partial,True,0.024143604595990187,0.0022470679186399833,0.0,0.00419474496533706,0.00028532857008037186,3.0,0.004396504703856751,-6.8260849102788805,0.0,False
2070937863806751154,BOX,False,,52,partial,True,0.024143604595990187,0.0022470679186399833,0.0,0.00419474496533706,0.00028532857008037186,3.0,0.004396504703856751,-6.8260849102788805,0.0,False
2070682290464919874,BOX,False,,52,partial,True,0.024143604595990187,0.0022470679186399833,0.0,0.00419474496533706,0.00028532857008037186,3.0,0.004396504703856751,-6.8260849102788805,0.0,False
2070563281916620895,BOX,False,,32,partial,True,0.002041648860722889,0.0007289942477859606,4.0,0.0006705297706363384,0.0,1.0,0.0006705297706363384,,100.0,True
2070370225271251161,BOX,False,,45,partial,True,0.03678750591062885,0.002101692181556041,0.0,0.00419474496533706,0.00028532857008037186,3.0,0.004396504703856751,-7.335587821406891,0.0,False
2070310706369712272,BOX,False,,45,partial,True,0.03678750591062885,0.002101692181556041,0.0,0.00419474496533706,0.00028532857008037186,3.0,0.004396504703856751,-7.335587821406891,0.0,False
2069975251476422664,BOX,False,,29,partial,True,-0.0044114835149826614,0.003069298164847897,0.0,0.00419474496533706,0.00028532857008037186,3.0,0.004396504703856751,-3.944388745130377,0.0,False
2069639600310767616,BOX,False,,34,partial,True,0.016999380990891266,0.003553010117335351,0.0,0.00419474496533706,0.00028532857008037186,3.0,0.004396504703856751,-2.2491082747898097,0.0,False
2069596515560267891,BOX,False,,34,partial,True,0.016999380990891266,0.003553010117335351,0.0,0.00419474496533706,0.00028532857008037186,3.0,0.004396504703856751,-2.2491082747898097,0.0,False
2069228335255949775,BOX,False,,37,partial,True,0.020665374013250415,0.0024194900932836575,0.0,0.00419474496533706,0.00028532857008037186,3.0,0.004396504703856751,-6.221791500070761,0.0,False
2069140445205348432,BOX,False,,28,partial,True,0.006013176480062388,0.0010968861456372497,6.0,,,,,,,False
2068917230570795178,BOX,False,,39,partial,True,-0.0008672144334442855,0.002921248128424223,0.0,0.00419474496533706,0.00028532857008037186,3.0,0.004396504703856751,-4.463264357137863,0.0,False
2068851573175021864,BOX,False,,39,partial,True,-0.0008672144334442855,0.002921248128424223,0.0,0.00419474496533706,0.00028532857008037186,3.0,0.004396504703856751,-4.463264357137863,0.0,False
2068434042148782515,BOX,False,,39,partial,True,-0.0008672144334442855,0.002921248128424223,0.0,0.00419474496533706,0.00028532857008037186,3.0,0.004396504703856751,-4.463264357137863,0.0,False
2068068247413694532,BOX,False,,39,partial,True,-0.0008672144334442855,0.002921248128424223,0.0,0.00419474496533706,0.00028532857008037186,3.0,0.004396504703856751,-4.463264357137863,0.0,False
2067821985342878180,BOX,False,,39,partial,True,-0.0008672144334442855,0.002921248128424223,0.0,0.00419474496533706,0.00028532857008037186,3.0,0.004396504703856751,-4.463264357137863,0.0,False
2067802697324212562,BOX,False,,39,partial,True,-0.0008672144334442855,0.002921248128424223,0.0,0.00419474496533706,0.00028532857008037186,3.0,0.004396504703856751,-4.463264357137863,0.0,False
2067455756795039957,BOX,False,,39,partial,True,-0.016248398752462312,0.001935340540377255,0.0,0.00419474496533706,0.00028532857008037186,3.0,0.004396504703856751,-7.918605642341991,0.0,False
2067070918300664161,BOX,False,,29,partial,True,-0.013511258243542823,0.0035383535143973964,0.0,0.00419474496533706,0.00028532857008037186,3.0,0.004396504703856751,-2.300475731381438,0.0,False
2066908002809221496,BOX,False,,27,insufficient,False,-0.004712339816893452,0.0006010290544205667,2.0,,,,,,,False
2066735879213994434,BOX,False,,34,partial,True,0.005864414776280635,0.0022979443741781274,0.0,0.00419474496533706,0.00028532857008037186,3.0,0.004396504703856751,-6.647776598833541,0.0,False
2066554018953146689,BOX,False,,31,partial,True,-0.013706111382830843,0.0007411243074318891,2.0,,,,,,,False
2066526720480690221,BOX,False,,40,partial,True,0.0050192408175571135,0.000883934874606182,0.0,0.00419474496533706,0.00028532857008037186,3.0,0.004396504703856751,-11.603500097443039,0.0,False
